Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,ROC,Unknown,,No,,,$0.0000,https://ico.rasputinonline.com/,Ethereum,,$0.07,,United States,,,roc,https://icowatchlist.com/ico/roc
,AHT,Unknown,,No,,,$0.6500,https://bowheadhealth.com/,Waves,,$0.03,,United States,,,bowhead,https://icowatchlist.com/ico/bowhead
,ATB,Unknown,,No,,,$0.9000,https://atbcoin.com/,Not Available,,$0.01,-98.67%,United States,"$14,980,000",,atbcoin,https://icowatchlist.com/ico/atbcoin
ETH,MTH,Lithuania,"$95,000",No,https://github.com/monetha,Yes,$0.1900,https://www.monetha.io/,Ethereum,,,,United States,"$37,000,000","200,000,000",monetha,https://icowatchlist.com/ico/monetha
,BENJA,United States,,No,,,$0.0000,https://www.benjacoin.com/,Ethereum,,$0.01,,United States,,,benjacoin,https://icowatchlist.com/ico/benjacoin
"BTC, ETH",TRX,China,"$70,000,000",No,https://github.com/tronprotocol,,$0.0019,https://tron.network/index?lng=en,Blockchain,,$0.02,"1,129.58%",United States,"$70,000,000","100,000,000,000",tron,https://icowatchlist.com/ico/tron
,ARNA,Unknown,,No,,,$0.0000,https://projectarena.io/,Waves,,$0.00,,United States,,,arena,https://icowatchlist.com/ico/arena
,SNP,Unknown,,No,,,$0.0000,https://ico.snapup.biz,Ethereum,,,,United States,,,snapup,https://icowatchlist.com/ico/snapup
"BTC, ETH, ZEC, USD",FIL,Unknown,"$40,000,000",No,,,$5.0000,http://filecoin.io/,Not Available,,$2.85,-42.95%,United States,"$257,000,000",,filecoin,https://icowatchlist.com/ico/filecoin
,HBT,Singapore,,No,,,$0.2000,https://www.hubii.network/,Ethereum,,$0.15,-26.60%,United States,"$6,560,000",,hubiinetwork,https://icowatchlist.com/ico/hubiinetwork
,AHT,Unknown,,No,,,$0.1500,http://ahoolee.io,Ethereum,,$0.03,-79.96%,United States,"$153,600",,ahoolee,https://icowatchlist.com/ico/ahoolee
,WILD,United States,,No,,,$0.1000,http://wildcrypto.com,Ethereum,,$0.00,,United States,,,wildcrypto,https://icowatchlist.com/ico/wildcrypto
