Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers
,BOS,Unknown,,No,https://github.com/owlchain/owlchain-core,,$0.0434,https://www.boscoin.io/,Not Available,,$0.02,-61.57%,United States,"$12,200,000",,8,357,17,boscoin,71,https://icowatchlist.com/ico/boscoin,30
,BCAP,United States,,No,,,$1.0000,http://blockchain.capital/,Not Available,,$0.89,-11.15%,United States,"$10,000,000",,0,0,0,blockchaincapital,0,https://icowatchlist.com/ico/blockchaincapital,0
,ZRC,Unknown,,No,,,$1.4000,https://zrcoin.io/,Waves,,$1.92,37.14%,United States,"$7,070,000",,0,0,0,zrcoin,0,https://icowatchlist.com/ico/zrcoin,0
,AE,Liechtenstein,,No,,,$0.1950,https://www.aeternity.com/,Blockchain,,$0.48,145.27%,United States,"$24,990,000",,0,0,0,aeternity,0,https://icowatchlist.com/ico/aeternity,0
,ETB,United Kingdom,,No,,,$0.8800,https://ico.ethbits.com/,Ethereum,,$0.00,-99.99%,United States,"$1,200,000",,0,0,0,ethbits,0,https://icowatchlist.com/ico/ethbits,0
,PPY,Unknown,,No,,,$4.6000,http://www.peerplays.com,Bitcoin Fork,,$0.73,-84.06%,United States,"$4,500,000",,0,0,0,peerplays,0,https://icowatchlist.com/ico/peerplays,0
,ANT,Spain,,No,https://github.com/aragon,,$0.9090,https://aragon.one/,Ethereum,,$0.51,-43.54%,United States,"$25,000,000",,400,16411,23381,aragon,2449,https://icowatchlist.com/ico/aragon,691
,MCO,Unknown,,No,,,$2.6400,https://mona.co/,Ethereum,,$3.49,,United States,,,0,0,0,monaco,0,https://icowatchlist.com/ico/monaco,0
,SJCX,United States,,No,,,$0.2920,https://storj.io,Ethereum,,$0.20,-31.03%,United States,"$30,000,000",,0,0,0,storj,0,https://icowatchlist.com/ico/storj,0
,CVCOIN,Russian Federation,,No,,,$0.3862,https://ico.crypviser.net/,Bitcoin Fork,,$0.20,-47.90%,United States,"$3,870,000",,0,0,0,crypviser,0,https://icowatchlist.com/ico/crypviser,0
,QRL,Unknown,,No,https://github.com/theQRL,,$0.0640,https://theqrl.org/,Not Available,,$0.16,153.59%,United States,"$4,160,000",,1029,38093,12174,quantumrl,501,https://icowatchlist.com/ico/quantumrl,253
,PING,Unknown,,No,,,$0.2778,https://cryptoping.tech/,Waves,,$0.03,-89.66%,United States,"$2,500,000",,0,0,0,cryptoping,0,https://icowatchlist.com/ico/cryptoping,0
,ADL,Unknown,,No,,,$0.0295,https://www.adelphoi.io/,Not Available,,$0.01,-61.10%,United States,"$1,050,000",,0,0,0,adelphoi,0,https://icowatchlist.com/ico/adelphoi,0
,VERI,United States,,No,,,$12.0000,http://veritas.veritaseum.com/,Ethereum,,$18.24,52.00%,United States,"$12,000,000",,0,0,0,veritaseum,0,https://icowatchlist.com/ico/veritaseum,0
,MYST,Lithuania,,No,https://github.com/MysteriumNetwork,,$0.8850,https://mysterium.network/,Ethereum,,$0.06,-93.75%,United States,"$14,400,000",,150,11491,529,mysterium,791,https://icowatchlist.com/ico/mysterium,368
,EON,Unknown,,No,,,$0.0000,https://exscudo.com/,Blockchain,,,,United States,,,0,0,0,exscudo,0,https://icowatchlist.com/ico/exscudo,0
