Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url
,PPT,United Kingdom,,No,,$0.2522,Ethereum,,$1.50,495.79%,United States,"$9,000,000",,populous,https://icowatchlist.com/ico/populous
,PAY,Singapore,,No,,$0.8300,Ethereum,,$0.29,-65.64%,United States,"$80,000,000",,tenx,https://icowatchlist.com/ico/tenx
,DENT,China,,No,,$0.0005,Ethereum,,$0.00,77.26%,United States,"$4,200,000",,dent,https://icowatchlist.com/ico/dent
,DNT,Slovakia,,No,,$0.0157,Ethereum,,$0.02,-0.64%,United States,"$9,410,000",,district0x,https://icowatchlist.com/ico/district0x
,STX,Gibraltar,,No,,$1.8600,Ethereum,,$0.02,-99.10%,United States,"$27,480,000",,stox,https://icowatchlist.com/ico/stox
,CRS,Russian Federation,,No,,$1.0000,Waves,,$0.81,-18.91%,United States,"$5,060,000",,starta,https://icowatchlist.com/ico/starta
,CABS,Taiwan,,No,,"$1,000.0000",Ethereum,,,,United States,,,cryptoabs,https://icowatchlist.com/ico/cryptoabs
,SUR,Unknown,,No,,$20.5000,Not Available,,$0.64,-96.88%,United States,"$2,630,000",,suretly,https://icowatchlist.com/ico/suretly
,HVN,Unknown,,No,,$0.0220,Not Available,,$0.00,-84.56%,United States,"$8,530,000",,hive,https://icowatchlist.com/ico/hive
,XCJ,United States,,No,,$0.2900,Ethereum,,,,United States,"$53,000",,coinjob,https://icowatchlist.com/ico/coinjob
,CDT,Israel,,No,,$0.0270,Ethereum,,$0.01,-64.34%,United States,"$7,500,000",,coindash,https://icowatchlist.com/ico/coindash
,MANA,Argentina,,No,,$0.0250,Ethereum,,$0.07,190.75%,United States,"$26,290,000",,decentraland,https://icowatchlist.com/ico/decentraland
,ZRX,United States,,No,,$0.0480,Ethereum,,$0.30,521.56%,United States,"$24,000,000",,0x,https://icowatchlist.com/ico/0x
,RVT,Unknown,,No,,$0.2000,Not Available,,$0.05,-73.81%,United States,"$14,600,000",,rivet,https://icowatchlist.com/ico/rivet
,ODN,United Kingdom,,No,,$0.2500,Stratis,,$0.00,,United States,,,obsidian,https://icowatchlist.com/ico/obsidian
,COR,Unknown,,No,,$1.0000,Ethereum Classic,,$0.05,-94.62%,United States,"$2,100,000",,corion,https://icowatchlist.com/ico/corion
,MPRM,Switzerland,,No,,$0.1000,Ethereum,,$0.00,,United States,,,imperium,https://icowatchlist.com/ico/imperium
,XAI,Unknown,,No,,$0.0000,Ethereum,,$0.05,,United States,,,aicoin,https://icowatchlist.com/ico/aicoin
,ROC,Unknown,,No,,$0.0000,Ethereum,,$0.07,,United States,,,roc,https://icowatchlist.com/ico/roc
,AHT,Unknown,,No,,$0.6500,Waves,,$0.03,,United States,,,bowhead,https://icowatchlist.com/ico/bowhead
,ATB,Unknown,,No,,$0.9000,Not Available,,$0.01,-98.67%,United States,"$14,980,000",,atbcoin,https://icowatchlist.com/ico/atbcoin
ETH,MTH,Lithuania,"$95,000",No,Yes,$0.1900,Ethereum,,,,United States,"$37,000,000","200,000,000",monetha,https://icowatchlist.com/ico/monetha
,BENJA,United States,,No,,$0.0000,Ethereum,,$0.01,,United States,,,benjacoin,https://icowatchlist.com/ico/benjacoin
"BTC, ETH",TRX,China,"$70,000,000",No,,$0.0019,Blockchain,,$0.02,"1,129.58%",United States,"$70,000,000","100,000,000,000",tron,https://icowatchlist.com/ico/tron
,ARNA,Unknown,,No,,$0.0000,Waves,,$0.00,,United States,,,arena,https://icowatchlist.com/ico/arena
,SNP,Unknown,,No,,$0.0000,Ethereum,,,,United States,,,snapup,https://icowatchlist.com/ico/snapup
"BTC, ETH, ZEC, USD",FIL,Unknown,"$40,000,000",No,,$5.0000,Not Available,,$2.85,-42.95%,United States,"$257,000,000",,filecoin,https://icowatchlist.com/ico/filecoin
,HBT,Singapore,,No,,$0.2000,Ethereum,,$0.15,-26.60%,United States,"$6,560,000",,hubiinetwork,https://icowatchlist.com/ico/hubiinetwork
,AHT,Unknown,,No,,$0.1500,Ethereum,,$0.03,-79.96%,United States,"$153,600",,ahoolee,https://icowatchlist.com/ico/ahoolee
,WILD,United States,,No,,$0.1000,Ethereum,,$0.00,,United States,,,wildcrypto,https://icowatchlist.com/ico/wildcrypto
,AVT,United Kingdom,,No,,$3.2600,Ethereum,,$0.22,-93.19%,United States,"$20,200,000",,aventus,https://icowatchlist.com/ico/aventus
,DSR,Unknown,,No,,$0.0000,Ethereum,,$0.13,,United States,,,daseron,https://icowatchlist.com/ico/daseron
,CSNO,Unknown,,No,,$0.1505,Ethereum,,$0.03,,United States,,,bitdice,https://icowatchlist.com/ico/bitdice
,ICOS,Unknown,,No,,$32.0000,Ethereum,,$1.02,-96.81%,United States,"$14,370,000",,icobox,https://icowatchlist.com/ico/icobox
