Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Github URL,Have Prototype?,Initial Token Price,Official Website,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,branches,commits,forks,name,stars,url,watchers,description,end_time,image,price_usd,start_time,timezone,website_link
,QRL,Unknown,,No,https://github.com/theQRL,,$0.0640,https://theqrl.org/,Not Available,,$0.16,153.59%,United States,"$4,160,000",,1029,38093,12174,quantumrl,501,https://icowatchlist.com/ico/quantumrl,253,The Quantum Resistant Ledger QRL is new technology which is resistant to hacking by quantum computers,2017-05-24 12:00:00,https://icowatchlist.com/logos/quantumrl.png,0.21,2017-05-01 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/quantumrl
,PING,Unknown,,No,,,$0.2778,https://cryptoping.tech/,Waves,,$0.03,-89.66%,United States,"$2,500,000",,0,0,0,cryptoping,0,https://icowatchlist.com/ico/cryptoping,0,CryptoPing is a real time altcoins trading intelligence chatbot as a service,2017-05-25 00:00:00,https://icowatchlist.com/logos/cryptoping.png,0.02,2017-05-25 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/cryptoping
,ADL,Unknown,,No,,,$0.0295,https://www.adelphoi.io/,Not Available,,$0.01,-61.10%,United States,"$1,050,000",,0,0,0,adelphoi,0,https://icowatchlist.com/ico/adelphoi,0,Adel is a selfsustaining cryptocurrency system,2017-05-25 12:00:00,https://icowatchlist.com/logos/adelphoi.png,0.01,2017-05-01 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/adelphoi
,VERI,United States,,No,,,$12.0000,http://veritas.veritaseum.com/,Ethereum,,$18.24,52.00%,United States,"$12,000,000",,0,0,0,veritaseum,0,https://icowatchlist.com/ico/veritaseum,0,Veritaseum is a smart contractsbased peertopeer wallet interface,2017-05-26 12:00:00,https://icowatchlist.com/logos/veritaseum.png,18.00,2017-04-25 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/veritaseum
,MYST,Lithuania,,No,https://github.com/MysteriumNetwork,,$0.8850,https://mysterium.network/,Ethereum,,$0.06,-93.75%,United States,"$14,400,000",,150,11491,529,mysterium,791,https://icowatchlist.com/ico/mysterium,368,Mysterium is an open sourced network that enables anyone to rent out their unused network traffic,2017-05-30 21:00:00,https://icowatchlist.com/logos/mysterium.png,0.07,2017-05-30 13:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/mysterium
,EON,Unknown,,No,,,$0.0000,https://exscudo.com/,Blockchain,,,,United States,,,0,0,0,exscudo,0,https://icowatchlist.com/ico/exscudo,0,Exscudos main goal is to integrate cryptocurrencies into the traditional financial,2017-05-31 00:00:00,https://icowatchlist.com/logos/exscudo.png,NA,2017-04-25 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/exscudo
,PTOY,United States,,No,,,$0.1453,http://www.patientory.com/,Ethereum,,$0.02,-87.52%,United States,"$10,170,000",,0,0,0,patientory,0,https://icowatchlist.com/ico/patientory,0,Patientory is a distributed electronic medical record storage computing platform on the blockchain ,2017-05-31 00:00:00,https://icowatchlist.com/logos/patientory.png,0.02,2017-05-31 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/patientory
,BAT,United States,,No,,,$0.3600,https://basicattentiontoken.org/index/,Ethereum,,$0.23,-35.95%,United States,"$36,000,000",,0,0,0,basicattentiontoken,0,https://icowatchlist.com/ico/basicattentiontoken,0,Basic Attention Token is bringing blockchain technology to digital advertising,2017-05-31 12:00:00,https://icowatchlist.com/logos/basicattentiontoken.png,0.33,2017-05-31 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/basicattentiontoken
,WGR,Unknown,,No,,,$0.0550,http://www.wagerr.com/,Waves,,$0.08,36.62%,United States,"$6,380,000",,0,0,0,wagerr,0,https://icowatchlist.com/ico/wagerr,0,Wagerr is a decentralized sportsbook that changes the way the world bets on sports,2017-06-01 00:00:00,https://icowatchlist.com/logos/wagerr.png,0.11,2017-06-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/wagerr
,NVST,Canada,,No,,,$0.2720,https://nvo.io/,Maidsafe,,$0.45,65.20%,United States,"$4,000,000",,0,0,0,nvo,0,https://icowatchlist.com/ico/nvo,0,NVO is building a crossplatform modular decentralized exchange,2017-06-01 00:00:00,https://icowatchlist.com/logos/nvo.png,0.45,2017-06-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/nvo
,XID,United Kingdom,,No,,,$0.1887,http://www.sphre.co,Hyperledger,,$0.02,-88.07%,United States,"$5,110,000",,0,0,0,sphre,0,https://icowatchlist.com/ico/sphre,0,SphreAir is a smart contract based platform for the secure management and monetisation of digital identities,2017-06-01 00:00:00,https://icowatchlist.com/logos/sphre.png,0.04,2017-06-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/sphre
,DRP,Unknown,,No,,,$0.7607,https://www.dcorp.it/,Ethereum,,$0.18,-75.75%,United States,"$5,050,000",,0,0,0,dcorp,0,https://icowatchlist.com/ico/dcorp,0,Dcorp is an autonomous organization system based on a smartcontract blockchain solution,2017-06-01 00:00:00,https://icowatchlist.com/logos/dcorp.png,0.23,2017-06-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/dcorp
,WTT,United States,,No,,,$1.0000,https://cryptonomos.com/,Ethereum,,$0.02,,United States,,,0,0,0,giga-watt,0,https://icowatchlist.com/ico/giga-watt,0,Giga Watt facilitys distinctive infrastructure consists of numerous independent mining units ,2017-06-02 00:00:00,https://icowatchlist.com/logos/giga-watt.png,0.03,2017-06-02 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/giga-watt
,VSM,Spain,,No,https://github.com/voiseit,,$1.7700,https://voise.it/,Not Available,,$2.58,45.76%,United States,"$1,360,000",,0,0,0,voise,0,https://icowatchlist.com/ico/voise,0,A platform that levels the playing field for all musicians,2017-06-06 00:00:00,https://icowatchlist.com/logos/voise.png,4.03,2017-05-06 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/voise
