,Accepted Currencies,Coin Symbol,Country,Funding Goal,Funds in Escrow?,Have Prototype?,Initial Token Price,Platform,Pre-ICO Dates,Price Now,ROI,Restricted Countries,Total Raised,Total Tokens,name,url,description,end_time,image,price_usd,start_time,timezone,website_link
472,ETH,ROX,Slovenia,,Yes,Yes,$0.0500,Ethereum,February 21st 2018 To March 21st 2018,,,United States,,"815,000,000",robotina,https://icowatchlist.com/ico/robotina,Internet Of Things Artificial Intelligence  Blockchain empowering energy consumers,2018-04-30 14:59:00,https://icowatchlist.com/logos/robotina.png,NA,2018-03-21 15:30:00,UTC+1,https://api.icowatchlist.com/public/v1/url/robotina
473,,FOXT,Spain,,No,Yes,$0.6800,Ethereum,February 7th 2018 To March 9th 2018,,,United States,,"10,000,000",fox-trading,https://icowatchlist.com/ico/fox-trading,Exclusive Trading Service for Forex and Cryptocurrencies for maximized earnings,2018-04-30 15:00:00,https://icowatchlist.com/logos/fox-trading.png,NA,2018-03-10 15:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/fox-trading
474,,CRL,Czech Republic,,No,Yes,$0.0800,Ethereum,January 19th 2018 To March 5th 2018,,,United States,,"500,000,000",cryptelo,https://icowatchlist.com/ico/cryptelo,Platform for encrypted data sharing,2018-04-30 17:00:00,https://icowatchlist.com/logos/cryptelo.png,NA,2018-03-15 17:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/cryptelo
475,ETH,CRTL,Singapore,,No,Yes,$0.1000,Ethereum,,,,United States,,"100,000,000",cartel-chain,https://icowatchlist.com/ico/cartel-chain,A seamless ecommerce continuum Eliminating middle men reducing global carbon emissions and more,2018-04-30 23:59:00,https://icowatchlist.com/logos/cartel-chain.png,NA,2018-03-11 00:00:00,UTC+7,https://api.icowatchlist.com/public/v1/url/cartel-chain
476,"BTC, LTC, BCH, ETH, DASH, USD",MCU,United Kingdom,,Yes,Yes,$1.0000,Ethereum,,,,United States,,"100,000,000",medichainonline,https://icowatchlist.com/ico/medichainonline,MediChain will bring better health to patients with the help of blockchain technology,2018-04-30 23:59:00,https://icowatchlist.com/logos/medichainonline.png,NA,2018-03-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/medichainonline
477,"BTC, ETH, BCH, LTC, USD, EUR",TCO,Bermuda,,No,,$0.2100,Ethereum,April 3rd 2018 To April 16th 2018,,,"United States, China",,"500,000,000",thinkcoin,https://icowatchlist.com/ico/thinkcoin,ThinkCoin is a Multi Asset Trading which leverages blockhain technology to ensure that investors get optimal returns,2018-04-30 23:59:00,https://icowatchlist.com/logos/thinkcoin.png,NA,2018-04-17 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/thinkcoin
478,"BTC, ETH",WIIX,Canada,,No,Yes,$0.1100,Ethereum,,,,United States,,"2,100,000,000",wiix,https://icowatchlist.com/ico/wiix,Innovations Global Opportunites and a new World with Blockchain Technology,2018-04-30 23:59:00,https://icowatchlist.com/logos/wiix.png,NA,2018-04-01 00:00:00,UTC--5,https://api.icowatchlist.com/public/v1/url/wiix
479,"BTC, ETH",ETY,United Arab Emirates,,No,Yes,$0.2000,Ethereum,February 1st 2018 To March 8th 2018,,,United States,,"250,000,000",etherty,https://icowatchlist.com/ico/etherty,Platform that utilizes blockchain technology to provide a onestop solution for the purchase sale and crowdsale of real estate globally,2018-04-30 23:59:00,https://icowatchlist.com/logos/etherty.png,NA,2018-03-15 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/etherty
480,"BTC, ETH, BCH, EUR, USD",IPS,Switzerland,,No,,$1.1300,Ethereum,,,,United States,,"60,000,000",ipstock,https://icowatchlist.com/ico/ipstock,IPStock implements visual digital content registry on blockchain and license management through smartcontracts,2018-04-30 23:59:00,https://icowatchlist.com/logos/ipstock.png,NA,2018-04-01 00:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/ipstock
481,"BTC, ETH",EEE,Russian Federation,,No,Yes,$0.1800,Ethereum,,,,United States,,"303,000,000",elementh,https://icowatchlist.com/ico/elementh,Elementh is a blockchain designed for the ecommerce market,2018-05-01 00:00:00,https://icowatchlist.com/logos/elementh.png,NA,2018-04-01 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/elementh
482,ETH,DNN,United States,,No,Yes,$0.3000,Ethereum,,,,United States,,"1,000,000,000",decentralized-news-network,https://icowatchlist.com/ico/decentralized-news-network,DNN is a Political News Platform Fighting Fake News and Combating Censorship,2018-05-01 00:00:00,https://icowatchlist.com/logos/decentralized-news-network.png,NA,2018-04-03 00:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/decentralized-news-network
483,"BTC, ETH, LTC, ETC, DASH",KRC,South Africa,,No,Yes,$0.1200,Ethereum,,,,United States,,"10,000,000",kerberos-coin,https://icowatchlist.com/ico/kerberos-coin,Altcoin Mining Operation Using Smart Contracts  Based On the Ethereum Blockchain,2018-05-01 12:00:00,https://icowatchlist.com/logos/kerberos-coin.png,NA,2018-04-01 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/kerberos-coin
484,"BTC, ETH",PMNT,Estonia,,No,Yes,$0.0150,Ethereum,,,,United States,,"1,000,000,000",paymon,https://icowatchlist.com/ico/paymon,Paymon is a blockchain platform that connect all market participants through new scalable blockchain  Hive,2018-05-03 23:00:00,https://icowatchlist.com/logos/paymon.png,NA,2018-03-30 14:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/paymon
485,,CEEK,Virgin Islands (British),,No,,$0.1500,Ethereum,March 26th 2018 To April 16th 2018,,,United States,"$17,300,000",,ceek,https://icowatchlist.com/ico/ceek,Virtual Reality platform for streamed live events and productions making use of Blockchain Technology,2018-05-04 04:59:00,https://icowatchlist.com/logos/ceek.png,NA,2018-04-16 05:01:00,UTC+0,https://api.icowatchlist.com/public/v1/url/ceek
486,"BTC, ETH",NKL,Australia,,Yes,,$0.4000,Ethereum,April 12th 2018 To April 23rd 2018,,,United States,,"40,000,000",nickelcoin,https://icowatchlist.com/ico/nickelcoin,Deploying Blockchain tehnology to Customers Loyalty Rewards,2018-05-07 12:00:00,https://icowatchlist.com/logos/nickelcoin.png,NA,2018-04-26 12:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/nickelcoin
487,ETH,ITM,United Kingdom,,Yes,Yes,$1.0000,Ethereum,,,,United States,,"100,000,000",intimateio,https://icowatchlist.com/ico/intimateio,Intimate is a cryptocurrency facilitating payments and trust for the adult industry,2018-05-08 09:00:00,https://icowatchlist.com/logos/intimateio.png,NA,2018-04-26 09:00:00,UTC+0,https://api.icowatchlist.com/public/v1/url/intimateio
488,ETH,ELI,Slovenia,,No,,$0.1000,Ethereum,March 20th 2018 To April 10th 2018,,,United States,,"500,000,000",eligma,https://icowatchlist.com/ico/eligma,AIdriven and blockchainbased cognitive commerce platform,2018-05-08 11:00:00,https://icowatchlist.com/logos/eligma.png,NA,2018-04-17 11:00:00,UTC+1,https://api.icowatchlist.com/public/v1/url/eligma
